# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
chef-analytics-trigger-git_poll,2016-05,0.00,59.97,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-06,20.96,60.96,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-git_poll,2016-07,0.00,94.88,http://wilson.ci.chef.co/job/chef-analytics-trigger-git_poll/
chef-analytics-trigger-nightly-master,2015-12,8.58,54.63,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-01,27.45,95.62,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-02,7.06,98.40,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-03,19.52,125.17,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-04,21.09,130.50,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-05,27.10,132.06,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-06,17.05,132.14,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-nightly-master,2016-07,18.57,170.93,http://wilson.ci.chef.co/job/chef-analytics-trigger-nightly-master/
chef-analytics-trigger-release,2015-12,0.00,71.95,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-01,0.00,58.93,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-02,0.00,54.82,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-03,0.00,0.00,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-04,3.75,84.53,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-05,0.00,0.00,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-06,0.00,0.00,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-analytics-trigger-release,2016-07,0.00,101.95,http://wilson.ci.chef.co/job/chef-analytics-trigger-release/
chef-backend-build,2016-05,0.04,29.24,http://wilson.ci.chef.co/job/chef-backend-build/
chef-backend-build,2016-06,0.13,22.06,http://wilson.ci.chef.co/job/chef-backend-build/
chef-backend-build,2016-07,0.69,35.71,http://wilson.ci.chef.co/job/chef-backend-build/
chef-backend-test,2016-05,4.17,21.82,http://wilson.ci.chef.co/job/chef-backend-test/
